wuf75-01 37190 1 2 3 4 5 6 -7 8 9 10 11 -12 13 14 15 -16 17 18 -19 -20 21 -22 -23 24 -25 26 27 -28 29 -30 31 -32 33 34 35 36 -37 38 39 -40 -41 42 43 -44 -45 -46 47 -48 49 -50 -51 -52 -53 -54 -55 56 57 -58 59 60 61 62 63 64 65 -66 -67 -68 69 70 -71 72 73 74 -75 0
wuf75-010 37109 1 -2 3 4 5 6 -7 8 9 -10 11 12 13 14 -15 16 17 -18 19 20 -21 22 23 -24 25 26 27 28 29 30 -31 32 33 -34 -35 -36 37 38 39 40 41 42 -43 44 45 -46 47 -48 -49 -50 -51 52 53 54 55 56 57 58 59 60 61 62 -63 64 -65 66 -67 -68 -69 70 71 72 -73 -74 -75 0
wuf75-0100 42689 1 2 3 -4 -5 6 7 8 -9 -10 -11 12 -13 14 -15 16 17 18 19 -20 -21 22 23 -24 25 26 27 28 -29 30 31 32 33 34 -35 36 37 38 39 40 41 42 43 44 45 46 -47 48 49 50 51 52 53 54 55 56 57 -58 59 60 61 62 63 64 -65 66 67 -68 -69 70 71 72 -73 -74 75 0
wuf75-011 42532 1 2 3 4 -5 6 7 -8 9 -10 11 12 13 14 15 16 17 18 19 20 21 -22 -23 24 25 26 27 28 29 -30 31 32 33 34 35 -36 -37 -38 39 40 41 42 -43 44 45 46 -47 -48 49 50 51 -52 53 54 55 56 57 -58 -59 -60 61 -62 63 64 65 66 67 68 69 70 71 -72 -73 -74 75 0
wuf75-012 37628 1 -2 3 4 5 6 7 8 9 10 -11 12 13 -14 -15 16 17 18 19 20 -21 22 23 -24 25 -26 -27 28 29 30 31 -32 -33 34 -35 -36 37 38 39 40 -41 -42 43 -44 45 46 -47 -48 49 50 51 52 -53 54 -55 -56 57 58 59 -60 61 62 63 -64 65 66 -67 -68 -69 -70 71 72 73 74 75 0
wuf75-013 40515 -1 2 3 4 5 6 7 -8 9 10 11 -12 13 -14 15 16 17 -18 -19 20 21 22 -23 -24 25 -26 -27 28 29 30 31 32 33 34 -35 36 37 38 39 40 -41 42 43 44 45 -46 47 48 -49 50 51 52 53 -54 55 -56 -57 58 -59 60 61 -62 -63 -64 65 -66 67 68 69 70 71 -72 73 -74 75 0
wuf75-014 35192 1 2 -3 -4 -5 6 -7 -8 9 10 -11 12 13 14 -15 16 17 18 19 -20 21 22 23 24 25 26 27 -28 29 30 31 32 33 34 -35 36 37 38 -39 -40 41 42 -43 -44 -45 -46 -47 48 49 50 51 -52 -53 54 55 56 57 58 -59 -60 61 62 -63 -64 65 -66 -67 68 69 70 71 72 -73 74 75 0
wuf75-015 41565 1 2 3 4 5 -6 -7 8 -9 -10 -11 12 13 14 15 16 17 -18 19 20 21 22 -23 24 25 26 27 28 29 -30 -31 32 33 34 -35 36 -37 38 39 -40 41 42 43 -44 45 46 47 48 49 50 51 52 53 54 -55 56 57 -58 59 60 61 -62 63 64 65 -66 -67 -68 69 70 71 72 73 74 75 0
wuf75-016 42157 1 2 3 4 5 6 7 -8 9 10 11 12 13 14 -15 16 17 18 19 20 -21 22 23 -24 25 26 -27 28 29 -30 31 -32 -33 34 35 36 37 38 39 -40 -41 42 -43 44 -45 46 -47 48 -49 -50 -51 52 53 -54 -55 -56 57 58 59 60 61 62 -63 64 65 66 -67 68 -69 70 71 72 73 -74 75 0
wuf75-017 38162 1 -2 3 4 5 6 -7 8 9 -10 -11 12 13 14 15 16 17 18 19 -20 21 -22 -23 -24 25 26 -27 -28 29 30 31 -32 33 -34 -35 36 -37 38 -39 -40 -41 42 43 44 45 46 47 48 49 50 51 52 53 -54 55 56 57 58 -59 60 61 -62 63 64 65 66 67 -68 69 70 71 72 73 -74 75 0
wuf75-018 41286 1 2 3 4 5 6 7 8 9 -10 -11 12 13 14 15 16 17 -18 -19 20 -21 -22 -23 24 -25 26 27 28 -29 30 -31 32 33 34 35 36 37 -38 39 40 41 42 43 -44 45 -46 -47 48 49 50 51 -52 53 54 55 56 57 58 59 60 -61 62 63 64 65 -66 -67 -68 -69 70 71 72 73 -74 75 0
wuf75-019 38854 1 2 3 4 -5 6 -7 -8 9 -10 11 12 13 14 15 16 -17 18 19 20 21 22 -23 -24 -25 26 27 28 29 30 31 32 33 -34 35 -36 37 38 39 -40 -41 42 43 44 -45 -46 47 48 49 50 -51 52 53 54 55 56 -57 -58 -59 -60 61 62 63 64 -65 66 -67 -68 69 70 -71 72 -73 -74 75 0
wuf75-02 49068 -1 2 3 4 5 -6 7 8 -9 -10 11 12 13 14 15 16 -17 18 19 20 21 22 23 24 25 26 27 28 -29 30 -31 32 33 34 35 36 37 38 -39 -40 -41 -42 43 44 -45 -46 47 48 -49 50 -51 -52 -53 54 55 56 57 58 -59 -60 61 62 63 64 65 66 67 68 69 70 -71 72 -73 74 75 0
wuf75-020 56002 1 -2 3 4 -5 6 7 8 9 10 11 -12 13 14 -15 16 -17 18 19 20 21 -22 23 24 -25 26 27 28 29 -30 31 32 33 -34 35 36 37 38 -39 40 41 42 43 -44 -45 46 47 48 49 -50 51 -52 53 54 55 56 57 58 -59 60 61 62 63 64 65 -66 67 68 69 70 71 72 73 -74 75 0
wuf75-021 54055 1 2 3 4 -5 -6 -7 8 9 10 11 12 13 14 15 -16 17 18 19 20 21 22 23 24 25 -26 27 28 -29 30 31 32 33 -34 35 36 37 -38 39 40 41 42 43 44 45 -46 47 -48 -49 50 -51 52 53 54 55 56 57 58 59 60 -61 -62 63 64 -65 66 67 68 69 70 71 72 -73 74 75 0
wuf75-022 46197 1 2 3 4 5 -6 7 8 9 -10 11 12 13 -14 -15 16 17 18 19 20 21 -22 23 24 -25 26 27 -28 29 30 31 -32 -33 34 -35 -36 37 -38 -39 40 -41 42 43 -44 45 -46 47 -48 49 50 51 -52 -53 54 55 56 57 58 59 60 61 62 63 64 65 -66 -67 68 -69 70 71 72 73 74 -75 0
wuf75-023 49150 -1 -2 3 -4 -5 -6 -7 8 -9 10 11 -12 -13 14 15 16 17 -18 19 20 21 -22 -23 24 25 26 27 -28 29 30 31 32 33 -34 -35 -36 37 38 -39 40 41 42 43 44 45 46 47 48 -49 50 -51 52 53 54 55 -56 57 -58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 0
wuf75-024 38469 1 2 -3 4 -5 -6 -7 -8 9 10 11 -12 13 -14 -15 16 17 -18 19 -20 -21 22 23 24 25 -26 27 -28 29 30 31 32 33 34 -35 36 37 -38 -39 -40 41 -42 43 -44 45 46 47 48 49 50 -51 52 53 -54 55 56 -57 58 59 -60 61 62 -63 -64 65 -66 67 68 69 -70 71 -72 -73 -74 75 0
wuf75-025 47096 1 2 3 4 5 -6 7 -8 -9 10 11 -12 13 14 15 16 -17 18 19 -20 -21 22 23 24 25 26 27 -28 29 30 31 32 -33 34 -35 -36 37 38 39 40 41 -42 43 44 -45 46 47 48 49 -50 51 -52 53 -54 55 56 -57 58 59 -60 61 62 63 -64 65 66 67 68 69 70 -71 72 -73 74 75 0
wuf75-026 45188 1 2 3 4 -5 6 7 8 -9 10 -11 12 -13 14 -15 16 17 -18 19 20 21 22 23 -24 25 26 27 28 -29 30 31 32 33 -34 35 -36 -37 38 39 40 41 42 43 -44 45 46 47 -48 -49 50 -51 52 53 54 55 56 57 58 59 -60 61 62 -63 -64 -65 66 -67 68 -69 -70 71 72 -73 -74 75 0
wuf75-027 43986 -1 2 3 4 -5 6 -7 8 -9 10 -11 12 13 14 15 16 17 18 19 20 -21 -22 23 24 -25 26 27 28 -29 30 31 32 -33 34 35 -36 37 -38 39 40 41 -42 43 -44 -45 46 47 -48 49 50 -51 52 53 -54 -55 56 57 -58 -59 60 -61 62 63 64 65 -66 67 -68 69 70 71 72 73 74 75 0
wuf75-028 47550 1 -2 3 4 -5 6 7 8 -9 10 11 12 13 14 -15 16 -17 18 19 20 21 22 23 24 25 26 -27 28 29 30 31 32 33 34 35 36 37 -38 -39 40 41 42 43 44 45 -46 47 48 49 50 -51 52 53 54 55 56 57 -58 -59 60 -61 -62 63 64 65 -66 67 -68 69 70 71 72 73 -74 75 0
wuf75-029 37779 -1 -2 3 -4 -5 -6 7 -8 9 10 11 12 -13 -14 -15 16 17 -18 19 20 21 22 -23 -24 -25 26 -27 28 29 30 31 -32 -33 -34 -35 -36 37 38 39 -40 41 42 43 -44 -45 46 47 48 -49 50 51 52 53 54 -55 56 -57 58 59 60 -61 62 63 64 -65 -66 67 68 69 70 -71 72 -73 -74 75 0
wuf75-03 41262 -1 -2 3 4 -5 6 -7 -8 -9 -10 11 -12 -13 14 -15 16 -17 -18 19 20 21 22 -23 24 25 26 27 -28 29 30 31 -32 33 34 -35 36 37 38 39 40 -41 42 43 44 45 -46 -47 48 49 50 51 -52 53 -54 -55 56 57 -58 59 60 61 62 63 -64 65 66 67 68 69 70 71 -72 -73 -74 -75 0
